round,accuracy,profile
0,52.68292682926829,she_dp
2,46.829268292682926,she_dp
3,47.80487804878049,she_dp
4,48.78048780487805,she_dp
5,48.78048780487805,she_dp
6,48.78048780487805,she_dp
7,48.78048780487805,she_dp
8,48.78048780487805,she_dp
9,48.78048780487805,she_dp
10,48.78048780487805,she_dp
11,48.78048780487805,she_dp
12,48.78048780487805,she_dp
13,48.78048780487805,she_dp
14,48.78048780487805,she_dp
15,48.78048780487805,she_dp
16,48.78048780487805,she_dp
17,48.78048780487805,she_dp
18,48.78048780487805,she_dp
19,48.78048780487805,she_dp
20,48.78048780487805,she_dp
21,48.78048780487805,she_dp
22,48.78048780487805,she_dp
23,48.78048780487805,she_dp
24,48.78048780487805,she_dp
25,48.78048780487805,she_dp
26,48.78048780487805,she_dp
27,48.78048780487805,she_dp
28,48.78048780487805,she_dp
29,48.78048780487805,she_dp
30,48.78048780487805,she_dp
31,48.78048780487805,she_dp
32,48.78048780487805,she_dp
33,48.78048780487805,she_dp
34,48.78048780487805,she_dp
35,48.78048780487805,she_dp
36,48.78048780487805,she_dp
37,48.78048780487805,she_dp
38,48.78048780487805,she_dp
39,48.78048780487805,she_dp
40,48.78048780487805,she_dp
41,48.78048780487805,she_dp
42,49.75609756097561,she_dp
43,50.24390243902439,she_dp
44,50.24390243902439,she_dp
45,50.24390243902439,she_dp
46,50.24390243902439,she_dp
47,50.73170731707317,she_dp
48,51.707317073170735,she_dp
49,54.146341463414636,she_dp
50,57.073170731707314,she_dp
